Record	REFERENCE	NAME	WATER_WELL_REF	Precision	LENGTH	YEAR_KNOWN	EASTING	NORTHING	SCAN_QUALITY	AGS_LOG_URL
Not available	SK47SE309	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP TPPS/01	N/A	undefined	Confidential	2007	445123	371717	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120493
Not available	SK47SE274	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP BHST/01	N/A	undefined	Confidential	2007	445128	371788	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120458
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/728375' class= 'bodyLink' target='_blank'>Scan</a>	SK47SE42	MARKHAM DRIFT MOUTH NO.2 SURFACE BH	N/A	undefined	23.77	1971	445133	371941	not Entered	null
Not available	SK47SE275	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP BHST/01A	N/A	undefined	Confidential	2007	445140	371776	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120459
Not available	SK47SE312	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP TPPS/04	N/A	undefined	Confidential	2007	445143	371541	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120496
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/728377' class= 'bodyLink' target='_blank'>Scan</a>	SK47SE44	MARKHAM DRIFT MOUTH NO.4 SURFACE BH	N/A	undefined	27.43	1971	445154	371898	not Entered	null
Not available	SK47SE333	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP DS12	N/A	undefined	Confidential	null	445159	371851	not Entered	null
Not available	SK47SE227	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP WS05	N/A	undefined	Confidential	2007	445167	371579	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120554
Not available	SK47SE311	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP TPPS/03	N/A	undefined	Confidential	2007	445183	371596	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120495
<a href='https://shop.bgs.ac.uk/Shop/Department/GeoRecords' class= 'bodyLink' target='_blank'>Confidential/restricted access borehole - try GeoRecords.</a>	SK47SE47	MARKHAM DRIFT MOUTH NO.7 SURFACE BH	N/A	undefined	Confidential	null	445192	371872	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767630' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW139	LONDON-YKS M'WAY BH625	N/A	undefined	7.62	1963	444660	370600	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511309' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW353	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D104A	N/A	undefined	2	1999	444620	370650	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511310' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW354	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D104B	N/A	undefined	3	1999	444657	370653	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913669' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW334	A6182/M1 JUNCTION 29A PHASE 2 MARKHAM EMPLOYMENT GOWTH ZONE	N/A	undefined	2.95	2007	444615	370719	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913902' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW339	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 CP1236A	N/A	undefined	5.26	2006	444559	370799	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913901' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW338	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 CP1236	N/A	undefined	4.37	2006	444565	370817	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913671' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW336	A6182/M1 JUNCTION 29A PHASE 2 MARKHAM EMPLOYMENT GOWTH ZONE	N/A	undefined	1.8	2007	444644	371013	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511311' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW355	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D105A	N/A	undefined	1.7	1999	444606	371103	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511313' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW357	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D105B1	N/A	undefined	2.2	1999	444646	371114	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511312' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW356	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D105B	N/A	undefined	0.8	1999	444646	371114	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767631' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW140	LONDON-YKS M'WAY BH626	N/A	undefined	12.19	1963	444640	371160	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913905' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW342	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1237	N/A	undefined	20.8	2006	444677	371240	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767632' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW141	LONDON-YKS M'WAY BH627	N/A	undefined	18.59	1963	444650	371250	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767633' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW142	LONDON TO YORKSHIRE MOTORWAY 628	N/A	undefined	15.24	1963	444620	371280	not Entered	null
Not available	SK47SE340	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP DS19	N/A	undefined	Confidential	null	445059	371284	not Entered	null
Not available	SK47SE290	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP BHST/15	N/A	undefined	Confidential	2007	445152	371331	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120474
Not available	SK47SE289	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP BHST/15A	N/A	undefined	Confidential	2007	445154	371332	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120473
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511306' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW350	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE M40	N/A	undefined	12	1999	444649	371333	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767513' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW23	BOLSOVER COLLIERY NO.15 NGBH	N/A	undefined	63.09	1970	444643	371333	not Entered	null
Not available	SK47SE314	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP TPST/02	N/A	undefined	Confidential	2007	445178	371348	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120498
Not available	SK47SE224	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP WS02	N/A	undefined	Confidential	2007	445108	371365	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120551
Not available	SK47SE322	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP DS01	N/A	undefined	Confidential	null	445174	371387	not Entered	null
Not available	SK47SE291	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP BHST/16	N/A	undefined	Confidential	2007	445235	371403	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120475
Not available	SK47SE222	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP SW18	N/A	undefined	Confidential	null	445269	371415	not Entered	null
Not available	SK47SE323	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP DS02	N/A	undefined	Confidential	null	445274	371416	not Entered	null
Not available	SK47SE341	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP DS20	N/A	undefined	Confidential	null	445044	371424	not Entered	null
Not available	SK47SE273	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP BHP1/32	N/A	undefined	Confidential	2007	445016	371445	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120455
Not available	SK47SE225	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP WS03	N/A	undefined	Confidential	2007	445215	371463	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120552
Not available	SK47SE281	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP BHST/07	N/A	undefined	Confidential	2007	445328	371470	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120465
Not available	SK47SE221	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP SW17	N/A	undefined	Confidential	null	445348	371471	not Entered	null
Not available	SK47SE288	MARKHAM EMPLOYMENT GROWTH ZONE (MEGZ) - PLOT 1 AND SOUTH TIP BHST/14	N/A	undefined	Confidential	2007	445141	371479	not Entered	https://webservices.bgs.ac.uk/GWBV/viewborehole?loca_id=2019040914063120472
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767531' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW40	MARKHAM COLLIERY 10 DOWN	N/A	undefined	17.05	1976	443876	371321	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767713' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW222	ARKWRIGHT COLLIERY 7044	N/A	undefined	5.4	1992	443947	371203	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767520' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW29	ARKWRIGHT COLLIERY NO.1 UGBH	N/A	undefined	288.65	1962	443979	371317	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767715' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW224	ARKWRIGHT COLLIERY 7045A	N/A	undefined	8.05	1992	444002	371195	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767714' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW223	ARKWRIGHT COLLIERY 7045	N/A	undefined	6.3	1992	444002	371195	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767717' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW226	ARKWRIGHT COLLIERY 7047	N/A	undefined	3.5	1992	444036	370511	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767716' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW225	ARKWRIGHT COLLIERY 7046	N/A	undefined	6.05	1992	444039	370861	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767545' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW54	MARKHAM COLLIERY L401 MAIN GATE DRIFT	N/A	undefined	14.31	1981	444060	371487	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18962253' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW347	LONGCOURSE FARM LONG DUCKMANTON	SK47/87	undefined	54.3	2009	444100	370400	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767718' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW227	ARKWRIGHT COLLIERY 7048	N/A	undefined	5.1	1992	444113	370105	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767540' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW49	BOLSOVER COLLIERY TUPTON D16'S SG NO.17 UGBH	N/A	undefined	9.6	1977	444239	370896	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19366578' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW348	HILL TOP FARM DUCKMANTON	SK47/88	undefined	42.5	2010	444261	371104	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767521' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW30	ARKWRIGHT COLLIERY NO.3 UGBH	N/A	undefined	Unknown	1962	444280	370277	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767514' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW24	BOLSOVER COLLIERY NO.16 NGBH	N/A	undefined	59.13	1970	444323	370544	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767541' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW50	MARKHAM COLLIERY STAPLE SHAFT	N/A	undefined	115.21	1897	444334	371339	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767528' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW37	MARKHAM 1 COLLIERY T.1'S LEFT GATE UPBORE	N/A	undefined	10.06	1960	444382	371130	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/728386' class= 'bodyLink' target='_blank'>Scan</a>	SK47SE53	BOLSOVER COLLIERY TUPTON 3/4 DRIFT D 90'S INTAKE	N/A	undefined	11.4	1977	445359	370999	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/728351' class= 'bodyLink' target='_blank'>Scan</a>	SK47SE18	BOLSOVER COLLIERY 10	N/A	undefined	125.88	1968	445362	370320	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/728478' class= 'bodyLink' target='_blank'>Scan</a>	SK47SE145	BOLSOVER COLLIERY UNDERGROUND NO.10	SK47/1	undefined	59.13	1960	445380	370302	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/728395' class= 'bodyLink' target='_blank'>Scan</a>	SK47SE62	BOLSOVER D92'S LOADO-GATE DRIFT	N/A	undefined	Unknown	1985	445518	370516	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224102' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE5/E	RAMCROFT COLLIERY UG/BH 5 DOWN	N/A	undefined	32.3	1964	445518	369573	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/728396' class= 'bodyLink' target='_blank'>Scan</a>	SK47SE63	BOLSOVER D92'S SUPPLY GATE DRIFT	N/A	undefined	8.95	1985	445676	370327	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224151' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE47	BOLSOVER COLLIERY UGBH 18 (48)	N/A	undefined	78.48	1981	445726	369125	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224158' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE54	LODGE FARM	N/A	undefined	370.33	1969	445862	369542	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/728394' class= 'bodyLink' target='_blank'>Scan</a>	SK47SE61	BOLSOVER COLLIERY DEEP HARD-TUPTON DRIFT	N/A	undefined	Unknown	null	445897	370860	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224122' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE18	PALTERTON COLLIERY	SK46/77	undefined	210.01	1958	445935	369192	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224153' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE49	BOLSOVER COLLIERY UGBH 20	N/A	undefined	12.07	null	445948	369945	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224101' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE5/D	RAMCROFT COLLIERY UG/BH 4 DOWN	N/A	undefined	29.56	1964	445965	369095	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224117' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE13	PALTERTON AIR SHAFT SECTION	SK46/84	undefined	328.51	1920	446000	369170	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224137' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE33	DEEPDALE FARM	N/A	undefined	450.52	1975	446031	369178	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/728490' class= 'bodyLink' target='_blank'>Scan</a>	SK47SE157	BOLSOVER COLLIERY NO.3	SK47/57C	undefined	707.47	1941	446040	371110	not Entered	null
