Record	REFERENCE	NAME	WATER_WELL_REF	Precision	LENGTH	YEAR_KNOWN	EASTING	NORTHING	SCAN_QUALITY	AGS_LOG_URL
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19530548' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE225	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D99A	N/A	undefined	1	1999	445263	368540	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19530549' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE226	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D99B	N/A	undefined	0.5	1999	445303	368553	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224175' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE71	TROWELL/BARLBOROUGH (M1) 617	N/A	undefined	18.29	1963	445270	368600	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913895' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE190	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1229	N/A	undefined	20	2006	445322	368612	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224249' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE134	PINXTON-BARLBORO BHW380E	N/A	undefined	14.02	1965	445317	366687	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224241' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE126	PINXTON-BARLBORO BHW376	N/A	undefined	14.94	1965	445289	366717	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224242' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE127	PINXTON-BARLBORO BHW377	N/A	undefined	10.36	1965	445320	366721	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224250' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE135	PINXTON-BARLBORO BHW421	N/A	undefined	11.89	1965	445004	366721	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/753888' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW13	HEATH 1	N/A	undefined	1121.66	null	444516	366740	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754096' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW221	HEATH	SK46/81	undefined	1219.2	null	444520	366740	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224251' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE136	PINXTON-BARLBORO BHW422	N/A	undefined	11.58	1965	445040	366765	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511272' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE208	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D140M	N/A	undefined	2.3	1999	445348	366769	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511271' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE207	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D139J	N/A	undefined	2.2	1999	445253	366774	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19530225' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE218	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D95B	N/A	undefined	3	1999	445321	366775	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19530224' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE217	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D95A	N/A	undefined	3	1999	445284	366777	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224243' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE128	PINXTON-BARLBORO BHW378	N/A	undefined	14.02	1965	445298	366785	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224244' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE129	PINXTON-BARLBORO BHW379	N/A	undefined	13.72	1965	445328	366785	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511263' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE199	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE M30	N/A	undefined	15	1999	445286	366790	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224258' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE143	PINXTON-BARLBORO BHW429	N/A	undefined	14.33	1965	445107	366804	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224246' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE131	PINXTON-BARLBORO BHW380B	N/A	undefined	13.72	1965	445331	366821	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224245' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE130	PINXTON-BARLBORO BHW380A	N/A	undefined	14.02	1965	445302	366826	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511258' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE194	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE CCTV11	N/A	undefined	10	1999	445333	366845	not Entered	null
